treatment,city,voted02p,age,gender,party
2,DENVER,0,44,F,DEMOCRATIC
1,DENVER,1,59,M,DEMOCRATIC
1,DENVER,1,45,F,REPUBLICAN
1,DENVER,0,55,F,DEMOCRATIC
2,DENVER,0,49,F,DEMOCRATIC
2,MINNEAPOLIS,0,46,,
2,MINNEAPOLIS,0,64,,
2,MINNEAPOLIS,0,25,,
1,MINNEAPOLIS,0,71,,
2,MINNEAPOLIS,0,48,,
1,MINNEAPOLIS,0,29,,
2,DENVER,0,35,F,DEMOCRATIC
1,MINNEAPOLIS,1,69,,
1,MINNEAPOLIS,0,46,,
1,MINNEAPOLIS,1,67,,
1,DENVER,1,82,F,DEMOCRATIC
2,MINNEAPOLIS,0,53,,
2,MINNEAPOLIS,0,34,,
2,MINNEAPOLIS,0,56,,
2,MINNEAPOLIS,1,50,,
1,DENVER,0,48,M,REPUBLICAN
2,DENVER,0,38,M,REPUBLICAN
1,MINNEAPOLIS,0,46,,
1,DENVER,0,59,M,DEMOCRATIC
2,MINNEAPOLIS,0,51,,
1,MINNEAPOLIS,1,41,,
2,MINNEAPOLIS,0,35,,
1,MINNEAPOLIS,1,41,,
2,MINNEAPOLIS,0,61,,
2,MINNEAPOLIS,0,29,,
2,MINNEAPOLIS,0,32,,
1,MINNEAPOLIS,0,63,,
1,MINNEAPOLIS,0,42,,
1,MINNEAPOLIS,0,34,,
1,MINNEAPOLIS,0,83,,
2,MINNEAPOLIS,0,41,,
1,MINNEAPOLIS,0,25,,
2,MINNEAPOLIS,0,69,,
1,DENVER,1,82,M,DEMOCRATIC
2,MINNEAPOLIS,0,34,,
2,MINNEAPOLIS,1,83,,
1,MINNEAPOLIS,0,45,,
1,MINNEAPOLIS,0,44,,
1,MINNEAPOLIS,0,44,,
1,MINNEAPOLIS,0,52,,
2,MINNEAPOLIS,0,36,,
1,MINNEAPOLIS,0,34,,
1,MINNEAPOLIS,0,45,,
2,MINNEAPOLIS,0,35,,
1,DENVER,1,49,M,DEMOCRATIC
2,DENVER,0,83,F,DEMOCRATIC
2,MINNEAPOLIS,0,33,,
2,MINNEAPOLIS,0,41,,
2,DENVER,0,46,M,REPUBLICAN
2,MINNEAPOLIS,1,72,,
1,DENVER,1,45,F,DEMOCRATIC
2,MINNEAPOLIS,0,27,,
2,DENVER,1,70,M,REPUBLICAN
2,DENVER,0,46,M,REPUBLICAN
1,MINNEAPOLIS,0,28,,
2,DENVER,1,62,M,REPUBLICAN
1,MINNEAPOLIS,0,33,,
2,MINNEAPOLIS,0,80,,
1,MINNEAPOLIS,0,49,,
1,MINNEAPOLIS,0,24,,
2,MINNEAPOLIS,0,39,,
2,MINNEAPOLIS,0,78,,
1,MINNEAPOLIS,0,33,,
2,MINNEAPOLIS,0,43,,
1,MINNEAPOLIS,0,50,,
1,MINNEAPOLIS,0,26,,
2,MINNEAPOLIS,0,47,,
1,MINNEAPOLIS,0,41,,
1,DENVER,1,74,M,REPUBLICAN
1,DENVER,0,71,M,REPUBLICAN
1,MINNEAPOLIS,1,40,,
1,DENVER,1,75,M,REPUBLICAN
1,MINNEAPOLIS,0,45,,
2,MINNEAPOLIS,0,30,,
1,MINNEAPOLIS,0,42,,
2,MINNEAPOLIS,1,31,,
1,MINNEAPOLIS,0,102,,
2,MINNEAPOLIS,0,48,,
1,MINNEAPOLIS,0,50,,
1,MINNEAPOLIS,1,46,,
1,MINNEAPOLIS,1,49,,
1,MINNEAPOLIS,0,34,,
2,MINNEAPOLIS,1,56,,
2,MINNEAPOLIS,0,34,,
2,MINNEAPOLIS,0,33,,
2,MINNEAPOLIS,0,30,,
2,MINNEAPOLIS,0,75,,
1,DENVER,1,63,F,DEMOCRATIC
1,DENVER,1,42,F,DEMOCRATIC
2,DENVER,0,33,M,DEMOCRATIC
1,DENVER,1,54,M,DEMOCRATIC
2,DENVER,0,61,M,DEMOCRATIC
1,DENVER,0,50,F,REPUBLICAN
2,MINNEAPOLIS,1,45,,
1,MINNEAPOLIS,1,43,,
1,MINNEAPOLIS,0,54,,
1,DENVER,1,55,F,DEMOCRATIC
1,DENVER,0,44,M,REPUBLICAN
2,DENVER,0,27,F,DEMOCRATIC
1,MINNEAPOLIS,0,35,,
1,DENVER,0,56,M,DEMOCRATIC
1,MINNEAPOLIS,0,56,,
2,MINNEAPOLIS,0,83,,
1,MINNEAPOLIS,0,25,,
2,DENVER,0,34,F,REPUBLICAN
1,MINNEAPOLIS,0,77,,
2,DENVER,0,36,F,DEMOCRATIC
1,DENVER,0,45,F,DEMOCRATIC
1,DENVER,0,43,F,DEMOCRATIC
2,DENVER,0,26,M,DEMOCRATIC
1,MINNEAPOLIS,0,42,,
1,MINNEAPOLIS,0,30,,
1,MINNEAPOLIS,0,29,,
1,MINNEAPOLIS,0,33,,
1,DENVER,0,45,F,DEMOCRATIC
2,DENVER,0,32,M,DEMOCRATIC
2,MINNEAPOLIS,0,73,,
1,MINNEAPOLIS,0,77,,
1,DENVER,1,71,F,DEMOCRATIC
2,DENVER,0,32,M,DEMOCRATIC
1,DENVER,0,41,F,DEMOCRATIC
2,DENVER,1,69,M,DEMOCRATIC
2,DENVER,0,60,F,DEMOCRATIC
2,DENVER,0,66,M,REPUBLICAN
1,DENVER,0,63,F,REPUBLICAN
1,DENVER,1,59,M,REPUBLICAN
1,DENVER,1,55,F,REPUBLICAN
1,DENVER,1,79,M,REPUBLICAN
2,DENVER,1,58,F,REPUBLICAN
2,DENVER,0,80,M,REPUBLICAN
2,DENVER,0,80,M,REPUBLICAN
1,DENVER,1,53,F,DEMOCRATIC
2,DENVER,0,41,M,DEMOCRATIC
2,DENVER,0,44,M,REPUBLICAN
2,DENVER,1,44,F,DEMOCRATIC
2,DENVER,0,55,F,REPUBLICAN
1,DENVER,0,54,F,DEMOCRATIC
2,DENVER,0,76,F,DEMOCRATIC
1,DENVER,0,41,F,DEMOCRATIC
1,DENVER,0,66,F,DEMOCRATIC
2,DENVER,0,59,M,DEMOCRATIC
2,DENVER,0,21,M,DEMOCRATIC
1,DENVER,0,20,F,REPUBLICAN
2,DENVER,0,63,F,DEMOCRATIC
1,DENVER,0,27,F,REPUBLICAN
1,DENVER,0,57,F,DEMOCRATIC
1,DENVER,0,23,F,DEMOCRATIC
1,DENVER,0,46,F,REPUBLICAN
2,DENVER,0,34,M,DEMOCRATIC
2,DENVER,1,64,M,DEMOCRATIC
2,DENVER,1,55,M,DEMOCRATIC
2,MINNEAPOLIS,0,35,,
1,DENVER,0,47,M,DEMOCRATIC
1,DENVER,0,0,F,REPUBLICAN
2,DENVER,0,19,F,DEMOCRATIC
2,DENVER,0,43,F,DEMOCRATIC
1,DENVER,0,41,F,DEMOCRATIC
1,MINNEAPOLIS,0,46,,
2,DENVER,0,67,M,DEMOCRATIC
2,DENVER,0,64,F,REPUBLICAN
1,DENVER,0,60,F,DEMOCRATIC
1,DENVER,0,59,F,REPUBLICAN
2,DENVER,0,45,M,DEMOCRATIC
2,MINNEAPOLIS,0,57,,
2,DENVER,0,81,M,DEMOCRATIC
1,MINNEAPOLIS,1,39,,
1,MINNEAPOLIS,1,68,,
2,DENVER,0,43,M,DEMOCRATIC
1,MINNEAPOLIS,1,81,,
2,DENVER,0,23,F,DEMOCRATIC
2,DENVER,1,41,F,DEMOCRATIC
2,DENVER,0,30,F,REPUBLICAN
1,DENVER,0,39,F,DEMOCRATIC
2,DENVER,0,27,M,DEMOCRATIC
1,DENVER,0,43,M,DEMOCRATIC
2,DENVER,0,29,M,DEMOCRATIC
1,DENVER,0,39,F,DEMOCRATIC
1,DENVER,0,64,F,DEMOCRATIC
2,DENVER,1,56,F,DEMOCRATIC
1,DENVER,0,28,F,DEMOCRATIC
2,DENVER,0,38,M,DEMOCRATIC
2,DENVER,0,68,M,DEMOCRATIC
1,DENVER,1,45,F,DEMOCRATIC
1,DENVER,0,30,M,DEMOCRATIC
2,DENVER,1,49,F,REPUBLICAN
1,DENVER,1,59,F,DEMOCRATIC
1,DENVER,0,24,F,DEMOCRATIC
2,DENVER,1,31,F,DEMOCRATIC
1,MINNEAPOLIS,0,55,,
1,DENVER,1,59,M,DEMOCRATIC
1,DENVER,1,57,F,DEMOCRATIC
1,DENVER,0,21,F,REPUBLICAN
1,DENVER,1,51,F,REPUBLICAN
1,DENVER,0,49,M,REPUBLICAN
1,DENVER,0,55,M,DEMOCRATIC
1,DENVER,0,54,M,DEMOCRATIC
2,DENVER,0,63,F,DEMOCRATIC
1,DENVER,0,36,F,DEMOCRATIC
2,DENVER,0,65,F,DEMOCRATIC
2,DENVER,0,51,F,DEMOCRATIC
2,DENVER,0,36,M,DEMOCRATIC
2,DENVER,0,42,F,DEMOCRATIC
1,DENVER,1,47,F,REPUBLICAN
2,DENVER,1,43,F,DEMOCRATIC
1,DENVER,1,69,F,DEMOCRATIC
1,MINNEAPOLIS,1,55,,
1,DENVER,0,48,F,DEMOCRATIC
1,MINNEAPOLIS,0,64,,
2,MINNEAPOLIS,0,51,,
2,DENVER,0,31,M,DEMOCRATIC
2,DENVER,1,58,M,DEMOCRATIC
1,DENVER,1,48,M,REPUBLICAN
1,DENVER,0,52,M,DEMOCRATIC
2,DENVER,0,63,F,DEMOCRATIC
2,MINNEAPOLIS,0,72,,
1,DENVER,0,43,F,DEMOCRATIC
2,DENVER,0,47,F,REPUBLICAN
1,MINNEAPOLIS,0,53,,
2,DENVER,0,65,M,DEMOCRATIC
1,DENVER,0,67,M,DEMOCRATIC
2,DENVER,0,34,F,DEMOCRATIC
1,DENVER,0,63,M,DEMOCRATIC
2,DENVER,1,65,M,DEMOCRATIC
2,DENVER,0,67,F,DEMOCRATIC
2,DENVER,0,50,F,DEMOCRATIC
2,DENVER,0,57,F,DEMOCRATIC
2,MINNEAPOLIS,0,54,,
2,MINNEAPOLIS,0,74,,
1,MINNEAPOLIS,1,74,,
1,MINNEAPOLIS,0,66,,
2,MINNEAPOLIS,0,49,,
2,MINNEAPOLIS,0,69,,
2,MINNEAPOLIS,0,53,,
1,MINNEAPOLIS,0,72,,
1,MINNEAPOLIS,0,46,,
1,MINNEAPOLIS,0,52,,
1,MINNEAPOLIS,0,102,,
2,MINNEAPOLIS,0,32,,
2,MINNEAPOLIS,0,52,,
1,MINNEAPOLIS,1,34,,
2,MINNEAPOLIS,1,69,,
1,MINNEAPOLIS,0,102,,
2,MINNEAPOLIS,0,53,,
1,MINNEAPOLIS,0,33,,
2,MINNEAPOLIS,0,28,,
2,MINNEAPOLIS,0,33,,
2,MINNEAPOLIS,1,84,,
2,MINNEAPOLIS,0,49,,
1,MINNEAPOLIS,1,54,,
2,MINNEAPOLIS,0,32,,
2,MINNEAPOLIS,0,46,,
2,MINNEAPOLIS,0,80,,
1,MINNEAPOLIS,1,28,,
2,MINNEAPOLIS,1,52,,
1,MINNEAPOLIS,1,80,,
1,MINNEAPOLIS,0,59,,
1,MINNEAPOLIS,1,36,,
1,MINNEAPOLIS,0,49,,
2,MINNEAPOLIS,0,31,,
1,MINNEAPOLIS,1,56,,
1,MINNEAPOLIS,0,30,,
1,MINNEAPOLIS,1,86,,
2,MINNEAPOLIS,0,79,,
2,MINNEAPOLIS,0,87,,
2,MINNEAPOLIS,0,49,,
1,MINNEAPOLIS,1,74,,
2,MINNEAPOLIS,0,40,,
2,MINNEAPOLIS,0,67,,
2,MINNEAPOLIS,0,36,,
1,MINNEAPOLIS,1,55,,
2,MINNEAPOLIS,1,37,,
1,MINNEAPOLIS,0,43,,
1,MINNEAPOLIS,1,50,,
1,MINNEAPOLIS,1,40,,
2,MINNEAPOLIS,0,35,,
1,MINNEAPOLIS,0,69,,
2,MINNEAPOLIS,0,58,,
1,MINNEAPOLIS,1,74,,
2,MINNEAPOLIS,0,79,,
1,MINNEAPOLIS,0,43,,
1,MINNEAPOLIS,1,50,,
1,DENVER,1,84,F,DEMOCRATIC
2,DENVER,1,73,M,REPUBLICAN
1,DENVER,0,81,M,REPUBLICAN
2,DENVER,1,59,F,DEMOCRATIC
1,DENVER,1,31,F,REPUBLICAN
2,DENVER,0,46,F,REPUBLICAN
2,DENVER,0,50,M,REPUBLICAN
2,DENVER,0,43,M,DEMOCRATIC
2,DENVER,1,63,M,REPUBLICAN
1,DENVER,1,63,M,REPUBLICAN
1,DENVER,1,68,M,DEMOCRATIC
2,DENVER,0,80,M,DEMOCRATIC
2,DENVER,0,64,F,REPUBLICAN
1,DENVER,1,68,F,DEMOCRATIC
